                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.401,                 2.7365,                 1.0951,                0.00331,                0.99155,                0.06633,                0.03261,                 1.1343,                 3.4409,                0.99722,                0.00044,                0.00044,                0.00044
                      1,                 1.3052,                   1.88,                 1.1176,                0.00318,                0.95493,                0.01035,                0.00609,                 1.2252,                 3.5842,                 1.1564,              0.0008703,              0.0008703,              0.0008703
                      2,                 1.3277,                 1.7068,                 1.1122,                0.85611,                0.20112,                0.73918,                 0.4826,                 1.1829,                 2.8112,                 1.1042,              0.0012702,              0.0012702,              0.0012702
                      3,                 1.2857,                 1.6095,                 1.1175,                0.70844,                0.80282,                 0.8042,                0.52835,                 1.2187,                 1.9722,                 1.0915,              0.0016398,              0.0016398,              0.0016398
                      4,                  1.277,                 1.4964,                 1.1389,                0.73743,                0.82254,                0.82018,                0.52905,                 1.1978,                 1.7745,                 1.0988,               0.001736,               0.001736,               0.001736
                      5,                 1.2092,                 1.3075,                 1.0761,                0.71334,                0.74304,                0.79134,                0.46385,                 1.3759,                 1.5872,                 1.2203,               0.001736,               0.001736,               0.001736
                      6,                 1.2643,                 1.3208,                 1.1288,                0.73859,                 0.8507,                0.79646,                0.50382,                 1.1548,                 1.3356,                 1.0872,                0.00167,                0.00167,                0.00167
                      7,                 1.2559,                 1.2101,                  1.095,                0.74781,                0.92113,                0.85832,                0.58012,                 1.1254,                 1.2601,                 1.0986,               0.001604,               0.001604,               0.001604
                      8,                 1.2658,                 1.1716,                 1.1198,                0.77167,                0.87887,                 0.8677,                0.58373,                 1.1397,                 1.1618,                   1.08,               0.001538,               0.001538,               0.001538
                      9,                 1.1726,                 1.0939,                 1.0879,                0.81641,                0.88936,                0.88921,                0.60345,                 1.1559,                 1.0128,                 1.0994,               0.001472,               0.001472,               0.001472
                     10,                 1.1746,                 1.0467,                 1.0957,                0.74651,                0.90704,                0.84959,                0.58591,                 1.0935,                0.98562,                 1.0676,               0.001406,               0.001406,               0.001406
                     11,                 1.1592,                0.99202,                 1.0913,                0.78714,                0.89014,                0.88899,                0.61116,                 1.0946,                0.95777,                 1.0756,                0.00134,                0.00134,                0.00134
                     12,                 1.1483,                0.93687,                 1.0768,                0.78009,                 0.9293,                0.90224,                0.60885,                 1.1113,                  0.869,                 1.0574,               0.001274,               0.001274,               0.001274
                     13,                 1.1722,                0.94283,                 1.0633,                0.82432,                0.92394,                0.92688,                0.64243,                 1.0659,                0.82613,                 1.0405,               0.001208,               0.001208,               0.001208
                     14,                 1.1311,                0.88353,                 1.0544,                0.83315,                0.90141,                0.93868,                0.63072,                 1.1297,                0.84919,                 1.0769,               0.001142,               0.001142,               0.001142
                     15,                 1.1245,                0.83979,                 1.0596,                 0.8318,                0.82817,                0.90274,                0.60808,                 1.0615,                 1.0363,                 1.0483,               0.001076,               0.001076,               0.001076
                     16,                 1.1197,                0.86469,                 1.0341,                0.82823,                0.89577,                0.93016,                0.64902,                 1.0414,                0.81219,                 1.0308,                0.00101,                0.00101,                0.00101
                     17,                 1.1074,                0.84605,                 1.0219,                0.87868,                0.89859,                0.94319,                0.66884,                  1.012,                0.74811,                 1.0262,               0.000944,               0.000944,               0.000944
                     18,                 1.1266,                0.83094,                 1.0368,                0.86252,                0.91549,                0.94192,                0.67155,                 1.0172,                0.72221,                 1.0405,               0.000878,               0.000878,               0.000878
                     19,                 1.0663,                0.78891,                 1.0191,                0.84053,                0.93536,                0.93396,                0.67494,                0.97915,                0.74655,                 1.0089,               0.000812,               0.000812,               0.000812
                     20,                 1.1106,                0.92295,                 1.0672,                0.84171,                0.94648,                0.93778,                0.66515,                0.99963,                0.71999,                 1.0134,               0.000746,               0.000746,               0.000746
                     21,                  1.093,                0.89103,                 1.0399,                0.89704,                0.93264,                 0.9634,                0.66696,                 1.0533,                0.73882,                 1.0525,                0.00068,                0.00068,                0.00068
                     22,                 1.1344,                0.84379,                 1.0856,                0.85122,                0.94085,                0.94503,                0.66784,                 1.0062,                0.70037,                 1.0342,               0.000614,               0.000614,               0.000614
                     23,                 1.0704,                0.75623,                  1.055,                0.88098,                0.96056,                0.95544,                 0.6961,                0.96679,                0.66763,                 1.0186,               0.000548,               0.000548,               0.000548
                     24,                 1.0389,                 0.7691,                 1.0477,                0.91826,                0.92113,                0.96779,                0.67147,                 1.0759,                0.64791,                  1.067,               0.000482,               0.000482,               0.000482
                     25,                 1.0267,                0.73166,                 1.0369,                0.89264,                0.96026,                0.96866,                0.70469,                0.98665,                0.60871,                 1.0333,               0.000416,               0.000416,               0.000416
                     26,                 1.0269,                0.71776,                 1.0298,                0.88688,                0.94963,                0.96562,                0.71929,                 0.9304,                0.59052,                 1.0061,                0.00035,                0.00035,                0.00035
                     27,                 1.0096,                0.71509,                 1.0285,                0.91065,                0.94366,                  0.969,                0.71585,                0.93725,                0.59785,                 1.0083,               0.000284,               0.000284,               0.000284
                     28,                0.99536,                0.70021,                 1.0236,                 0.9295,                0.93803,                0.96759,                0.71895,                 0.9093,                0.58175,                0.99302,               0.000218,               0.000218,               0.000218
                     29,                0.98182,                 0.7105,                 1.0088,                0.93246,                 0.9334,                 0.9709,                0.73134,                0.91467,                0.56805,                0.99183,               0.000152,               0.000152,               0.000152
